Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
12,325729,"package.json",198,4,"  ],",json,content
13,325760,"package.json",203,25,"  ""activationEvents"": [],",json,content
14,325776,"package.json",229,32,"  ""main"": ""./dist/extension.js"",",json,content
15,325792,"package.json",262,18,"  ""contributes"": {",json,content
16,325810,"package.json",281,17,"    ""commands"": [",json,content
17,325827,"package.json",299,7,"      {",json,content
18,325843,"package.json",307,44,"        ""command"": ""AkandeChips.helloWorld"",",json,content
19,325860,"package.json",352,30,"        ""title"": ""Hello World""",json,content
20,325877,"package.json",383,7,"      }",json,content
21,325893,"package.json",391,6,"    ],",json,content
22,325913,"package.json",398,18,"    ""languages"": [",json,content
23,325933,"package.json",417,7,"      {",json,content
24,325955,"package.json",425,28,"        ""id"": ""akandechips"",",json,content
25,325979,"package.json",454,50,"        ""aliases"": [""AkandeChips"", ""akandechips""],",json,content
26,325997,"package.json",505,44,"        ""extensions"": ["".akande"", "".chips""],",json,content
27,326018,"package.json",550,56,"        ""configuration"": ""./language-configuration.json""",json,content
28,326033,"package.json",607,7,"      }",json,content
29,326049,"package.json",615,6,"    ],",json,content
30,326067,"package.json",622,17,"    ""grammars"": [",json,content
31,326082,"package.json",640,7,"      {",json,content
32,326098,"package.json",648,34,"        ""language"": ""akandechips"",",json,content
33,326115,"package.json",683,42,"        ""scopeName"": ""source.akandechips"",",json,content
34,326136,"package.json",726,56,"        ""path"": ""./syntaxes/akandechips.tmLanguage.json""",json,content
35,326151,"package.json",783,7,"      }",json,content
36,326165,"package.json",791,6,"    ],",json,content
37,326182,"package.json",798,17,"    ""snippets"": [",json,content
38,326198,"package.json",816,7,"      {",json,content
39,326214,"package.json",824,34,"        ""language"": ""akandechips"",",json,content
40,326231,"package.json",859,54,"        ""path"": ""./snippets/akandechips.code-snippets""",json,content
41,326251,"package.json",914,7,"      }",json,content
42,326265,"package.json",922,5,"    ]",json,content
43,326281,"package.json",928,4,"  },",json,content
44,326297,"package.json",933,14,"  ""scripts"": {",json,content
45,326315,"package.json",948,43,"    ""vscode:prepublish"": ""npm run package"",",json,content
46,326331,"package.json",992,25,"    ""compile"": ""webpack"",",json,content
47,326348,"package.json",1018,31,"    ""watch"": ""webpack --watch"",",json,content
48,326364,"package.json",1050,71,"    ""package"": ""webpack --mode production --devtool hidden-source-map"",",json,content
49,326380,"package.json",1122,45,"    ""compile-tests"": ""tsc -p . --outDir out"",",json,content
50,326396,"package.json",1168,46,"    ""watch-tests"": ""tsc -p . -w --outDir out"",",json,content
51,326412,"package.json",1215,74,"    ""pretest"": ""npm run compile-tests && npm run compile && npm run lint"",",json,content
52,326427,"package.json",1290,25,"    ""lint"": ""eslint src"",",json,content
53,326443,"package.json",1316,25,"    ""test"": ""vscode-test""",json,content
54,326460,"package.json",1342,4,"  },",json,content
55,326477,"package.json",1347,22,"  ""devDependencies"": {",json,content
56,326494,"package.json",1370,31,"    ""@types/mocha"": ""^10.0.10"",",json,content
57,326520,"package.json",1402,26,"    ""@types/node"": ""20.x"",",json,content
58,326537,"package.json",1429,32,"    ""@types/vscode"": ""^1.102.0"",",json,content
59,326565,"package.json",1462,50,"    ""@typescript-eslint/eslint-plugin"": ""^8.31.1"",",json,content
60,326580,"package.json",1513,43,"    ""@typescript-eslint/parser"": ""^8.31.1"",",json,content
61,326596,"package.json",1557,34,"    ""@vscode/test-cli"": ""^0.0.11"",",json,content
62,326611,"package.json",1592,38,"    ""@vscode/test-electron"": ""^2.5.2"",",json,content
63,326627,"package.json",1631,24,"    ""eslint"": ""^9.25.1"",",json,content
64,326642,"package.json",1656,26,"    ""ts-loader"": ""^9.5.2"",",json,content
65,326658,"package.json",1683,27,"    ""typescript"": ""^5.8.3"",",json,content
66,326675,"package.json",1711,25,"    ""webpack"": ""^5.99.7"",",json,content
67,326691,"package.json",1737,27,"    ""webpack-cli"": ""^6.0.1""",json,content
68,326709,"package.json",1765,4,"  },",json,content
69,326728,"package.json",1770,19,"  ""dependencies"": {",json,content
70,326744,"package.json",1790,37,"    ""pygls"": ""^1.0.0"",",json,content
71,326759,"package.json",1813,3,"    ""vscode-languageclient"": ""^9.0.1""",json,content
72,326777,"package.json",1851,1,"  }",json,content
73,326796,"package.json",1855,0,"}",json,content
74,326813,"package.json",1856,0,"\n",json,content
75,335801,"package.json",0,1,"{",json,content
76,335829,"package.json",2,24,"  ""name"": ""AkandeChips"",",json,content
77,335845,"package.json",27,26,"  ""displayName"": ""Akande"",",json,content
78,335861,"package.json",54,46,"  ""description"": ""Chips Programmimg Language"",",json,content
79,335878,"package.json",101,21,"  ""version"": ""0.0.1"",",json,content
80,335893,"package.json",123,14,"  ""engines"": {",json,content
81,335908,"package.json",138,24,"    ""vscode"": ""^1.102.0""",json,content
82,335931,"package.json",163,4,"  },",json,content
83,335945,"package.json",168,17,"  ""categories"": [",json,content
84,335964,"package.json",186,11,"    ""Other""",json,content
85,335980,"package.json",198,4,"  ],",json,content
86,335995,"package.json",203,25,"  ""activationEvents"": [],",json,content
87,336011,"package.json",229,32,"  ""main"": ""./dist/extension.js"",",json,content
88,336027,"package.json",262,18,"  ""contributes"": {",json,content
89,336042,"package.json",281,17,"    ""commands"": [",json,content
90,336057,"package.json",299,7,"      {",json,content
91,336074,"package.json",307,44,"        ""command"": ""AkandeChips.helloWorld"",",json,content
92,336090,"package.json",352,30,"        ""title"": ""Hello World""",json,content
93,336106,"package.json",383,7,"      }",json,content
94,336122,"package.json",391,6,"    ],",json,content
95,336141,"package.json",398,18,"    ""languages"": [",json,content
96,336158,"package.json",417,7,"      {",json,content
97,336174,"package.json",425,28,"        ""id"": ""akandechips"",",json,content
98,336197,"package.json",454,50,"        ""aliases"": [""AkandeChips"", ""akandechips""],",json,content
99,336207,"package.json",505,44,"        ""extensions"": ["".akande"", "".chips""],",json,content
100,336223,"package.json",550,56,"        ""configuration"": ""./language-configuration.json""",json,content
101,336241,"package.json",607,7,"      }",json,content
102,336258,"package.json",615,6,"    ],",json,content
103,336275,"package.json",622,17,"    ""grammars"": [",json,content
104,336292,"package.json",640,7,"      {",json,content
105,336308,"package.json",648,34,"        ""language"": ""akandechips"",",json,content
106,336324,"package.json",683,42,"        ""scopeName"": ""source.akandechips"",",json,content
107,336342,"package.json",726,56,"        ""path"": ""./syntaxes/akandechips.tmLanguage.json""",json,content
108,336358,"package.json",783,7,"      }",json,content
109,336374,"package.json",791,6,"    ],",json,content
110,336393,"package.json",798,17,"    ""snippets"": [",json,content
111,336408,"package.json",816,7,"      {",json,content
112,336425,"package.json",824,34,"        ""language"": ""akandechips"",",json,content
113,336443,"package.json",859,54,"        ""path"": ""./snippets/akandechips.code-snippets""",json,content
114,336460,"package.json",914,7,"      }",json,content
115,336474,"package.json",922,5,"    ]",json,content
116,336493,"package.json",928,4,"  },",json,content
117,336509,"package.json",933,14,"  ""scripts"": {",json,content
118,336524,"package.json",948,43,"    ""vscode:prepublish"": ""npm run package"",",json,content
119,336541,"package.json",992,25,"    ""compile"": ""webpack"",",json,content
120,336556,"package.json",1018,31,"    ""watch"": ""webpack --watch"",",json,content
121,336575,"package.json",1050,71,"    ""package"": ""webpack --mode production --devtool hidden-source-map"",",json,content
122,336591,"package.json",1122,45,"    ""compile-tests"": ""tsc -p . --outDir out"",",json,content
123,336607,"package.json",1168,46,"    ""watch-tests"": ""tsc -p . -w --outDir out"",",json,content
124,336624,"package.json",1215,74,"    ""pretest"": ""npm run compile-tests && npm run compile && npm run lint"",",json,content
125,336643,"package.json",1290,25,"    ""lint"": ""eslint src"",",json,content
126,336661,"package.json",1316,25,"    ""test"": ""vscode-test""",json,content
127,336677,"package.json",1342,4,"  },",json,content
128,336692,"package.json",1347,22,"  ""devDependencies"": {",json,content
129,336710,"package.json",1370,31,"    ""@types/mocha"": ""^10.0.10"",",json,content
130,336727,"package.json",1402,26,"    ""@types/node"": ""20.x"",",json,content
131,336743,"package.json",1429,32,"    ""@types/vscode"": ""^1.102.0"",",json,content
132,336760,"package.json",1462,50,"    ""@typescript-eslint/eslint-plugin"": ""^8.31.1"",",json,content
133,336776,"package.json",1513,43,"    ""@typescript-eslint/parser"": ""^8.31.1"",",json,content
134,336793,"package.json",1557,34,"    ""@vscode/test-cli"": ""^0.0.11"",",json,content
135,336811,"package.json",1592,38,"    ""@vscode/test-electron"": ""^2.5.2"",",json,content
136,336827,"package.json",1631,24,"    ""eslint"": ""^9.25.1"",",json,content
137,336842,"package.json",1656,26,"    ""ts-loader"": ""^9.5.2"",",json,content
138,336860,"package.json",1683,27,"    ""typescript"": ""^5.8.3"",",json,content
139,336877,"package.json",1711,25,"    ""webpack"": ""^5.99.7"",",json,content
140,336892,"package.json",1737,27,"    ""webpack-cli"": ""^6.0.1""",json,content
141,336909,"package.json",1765,4,"  },",json,content
142,336926,"package.json",1770,19,"  ""dependencies"": {",json,content
143,336942,"package.json",1790,22,"    ""pygls"": ""^1.0.0"",",json,content
144,336959,"package.json",1813,37,"    ""vscode-languageclient"": ""^9.0.1""",json,content
145,336983,"package.json",1851,3,"  }",json,content
146,336995,"package.json",1855,1,"}",json,content
147,695019,".chips",0,0,"",plaintext,tab
148,695161,".gitignore",0,0,"out\ndist\nnode_modules\n.vscode-test/\n*.vsix\n",ignore,tab
149,696763,".chips",0,0,"",plaintext,tab
150,716914,".chips",0,0,"print('Hello World!')",plaintext,content
151,737249,".chips",21,0,"\r\n",plaintext,content
152,752560,".chips",21,0,"\r\n",plaintext,content
153,777516,".chips",0,21,"def greet():",plaintext,content
154,777531,".chips",14,0,"    print('Hello World!')",plaintext,content
155,777563,".chips",41,0,"\r\n",plaintext,content
156,808335,".chips",39,0,"\r\n    ",python,content
157,962149,"akandes_python_backend/chips_interpreter.py",0,0,"",python,tab
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
158,962199,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
159,962200,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n    run_chips_file(sys.argv[1])",python,content
160,962201,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n        sys.exit(1)",python,content
161,962201,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n        print('Usage: python chips_interpreter.py <file.chips>')",python,content
162,962202,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n    if len(sys.argv) != 2:",python,content
163,962202,"akandes_python_backend/chips_interpreter.py",0,0,"\r\nif __name__ == '__main__':",python,content
164,962203,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
165,962203,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n    exec(code, {})",python,content
167,962204,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n        code = f.read()",python,content
166,962203,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n    # For now, just execute as Python (for demo purposes)",python,content
168,962204,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n    with open(filename, 'r') as f:",python,content
169,962205,"akandes_python_backend/chips_interpreter.py",0,0,"\r\ndef run_chips_file(filename):",python,content
170,962205,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n# Simple interpreter for .chips files (Python-like subset)",python,content
171,962205,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,content
172,962206,"akandes_python_backend/chips_interpreter.py",0,0,"import sys",python,content
173,1019371,"akandes_python_backend/chips_interpreter.py",0,10,"import sys",python,content
174,1019428,"akandes_python_backend/chips_interpreter.py",14,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
175,1019476,"akandes_python_backend/chips_interpreter.py",74,29,"def run_chips_file(filename):",python,content
176,1019511,"akandes_python_backend/chips_interpreter.py",105,34,"    with open(filename, 'r') as f:",python,content
177,1019536,"akandes_python_backend/chips_interpreter.py",141,23,"        code = f.read()",python,content
178,1019588,"akandes_python_backend/chips_interpreter.py",166,57,"    # For now, just execute as Python (for demo purposes)",python,content
179,1019607,"akandes_python_backend/chips_interpreter.py",225,18,"    exec(code, {})",python,content
180,1019637,"akandes_python_backend/chips_interpreter.py",247,26,"def greet():",python,content
181,1019667,"akandes_python_backend/chips_interpreter.py",261,26,"    print('Hello World!')",python,content
182,1019683,"akandes_python_backend/chips_interpreter.py",288,64,"",python,content
183,1019701,"akandes_python_backend/chips_interpreter.py",290,19,"if __name__ == '__main__':",python,content
184,1019716,"akandes_python_backend/chips_interpreter.py",318,31,"    if len(sys.argv) != 2:",python,content
185,1019734,"akandes_python_backend/chips_interpreter.py",346,0,"        print('Usage: python chips_interpreter.py <file.chips>')",python,content
186,1019753,"akandes_python_backend/chips_interpreter.py",410,0,"\r\n        sys.exit(1)",python,content
187,1019771,"akandes_python_backend/chips_interpreter.py",431,0,"\r\n    run_chips_file(sys.argv[1])",python,content
188,1019789,"akandes_python_backend/chips_interpreter.py",464,0,"\r\n    greet()",python,content
189,1019819,"akandes_python_backend/chips_interpreter.py",477,0,"\r\n",python,content
190,1058292,"akandes_python_backend/chips_interpreter.py",0,10,"import sys",python,content
191,1058349,"akandes_python_backend/chips_interpreter.py",14,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
192,1058366,"akandes_python_backend/chips_interpreter.py",74,29,"def run_chips_file(filename):",python,content
193,1058381,"akandes_python_backend/chips_interpreter.py",105,34,"    with open(filename, 'r') as f:",python,content
194,1058400,"akandes_python_backend/chips_interpreter.py",141,23,"        code = f.read()",python,content
195,1058418,"akandes_python_backend/chips_interpreter.py",166,57,"    # For now, just execute as Python (for demo purposes)",python,content
196,1058435,"akandes_python_backend/chips_interpreter.py",225,18,"    exec(code, {})",python,content
197,1058467,"akandes_python_backend/chips_interpreter.py",247,12,"def greet():",python,content
198,1058482,"akandes_python_backend/chips_interpreter.py",261,25,"    print('Hello World!')",python,content
199,1058514,"akandes_python_backend/chips_interpreter.py",290,26,"greet()",python,content
200,1058531,"akandes_python_backend/chips_interpreter.py",299,26,"",python,content
201,1058549,"akandes_python_backend/chips_interpreter.py",299,135,"",python,content
202,1087202,"akandes_python_backend/chips_interpreter.py",297,0,"\r\n",python,content
203,1090054,"akandes_python_backend/chips_interpreter.py",299,0,"\r\n",python,content
204,1090796,"akandes_python_backend/chips_interpreter.py",301,0,"ef greet():\r\n    print('Hello World!')\r\n\r\ngreet()",python,content
205,1100023,"akandes_python_backend/chips_interpreter.py",350,0,"\r\n",python,content
206,1106694,"akandes_python_backend/chips_interpreter.py",290,62,"",python,content
207,1107592,"akandes_python_backend/chips_interpreter.py",288,2,"",python,content
208,1123409,"akandes_python_backend/chips_interpreter.py",74,171,"def",python,content
209,1123443,"akandes_python_backend/chips_interpreter.py",77,0," run_chips_file(filename:",python,content
210,1123484,"akandes_python_backend/chips_interpreter.py",102,0," str):",python,content
211,1123511,"akandes_python_backend/chips_interpreter.py",108,0,"\r\n    with",python,content
212,1123544,"akandes_python_backend/chips_interpreter.py",118,0," open(filename,",python,content
213,1123578,"akandes_python_backend/chips_interpreter.py",133,0," 'r')",python,content
214,1123612,"akandes_python_backend/chips_interpreter.py",138,0," as",python,content
215,1123643,"akandes_python_backend/chips_interpreter.py",141,0," f:",python,content
216,1123677,"akandes_python_backend/chips_interpreter.py",144,0,"\r\n        code",python,content
217,1123709,"akandes_python_backend/chips_interpreter.py",158,0," =",python,content
218,1123737,"akandes_python_backend/chips_interpreter.py",160,0," f.read()",python,content
219,1123772,"akandes_python_backend/chips_interpreter.py",169,0,"\r\n    #",python,content
220,1123802,"akandes_python_backend/chips_interpreter.py",176,0," For",python,content
221,1123830,"akandes_python_backend/chips_interpreter.py",180,0," now,",python,content
222,1123876,"akandes_python_backend/chips_interpreter.py",185,0," just",python,content
223,1123909,"akandes_python_backend/chips_interpreter.py",190,0," execute",python,content
224,1123936,"akandes_python_backend/chips_interpreter.py",198,0," as",python,content
225,1123972,"akandes_python_backend/chips_interpreter.py",201,0," Python",python,content
226,1124001,"akandes_python_backend/chips_interpreter.py",208,0," (for",python,content
227,1124030,"akandes_python_backend/chips_interpreter.py",213,0," demo",python,content
228,1124060,"akandes_python_backend/chips_interpreter.py",218,0," purposes)",python,content
229,1124094,"akandes_python_backend/chips_interpreter.py",228,0,"\r\n    exec(code,",python,content
230,1124144,"akandes_python_backend/chips_interpreter.py",244,0," {})\r\n",python,content
231,1139123,"akandes_python_backend/chips_interpreter.py",0,293,"#",python,content
232,1139156,"akandes_python_backend/chips_interpreter.py",1,0," Simple",python,content
233,1139190,"akandes_python_backend/chips_interpreter.py",8,0," interpreter",python,content
234,1139220,"akandes_python_backend/chips_interpreter.py",20,0," for",python,content
235,1139264,"akandes_python_backend/chips_interpreter.py",24,0," .chips",python,content
236,1139308,"akandes_python_backend/chips_interpreter.py",31,0," files",python,content
237,1139331,"akandes_python_backend/chips_interpreter.py",37,0," (Python",python,content
238,1139357,"akandes_python_backend/chips_interpreter.py",45,0,"-",python,content
239,1139386,"akandes_python_backend/chips_interpreter.py",46,0,"like",python,content
240,1139424,"akandes_python_backend/chips_interpreter.py",50,0," subset)",python,content
241,1139455,"akandes_python_backend/chips_interpreter.py",58,0,"\r\ndef",python,content
242,1139488,"akandes_python_backend/chips_interpreter.py",63,0," run_chips_file(filename:",python,content
243,1139522,"akandes_python_backend/chips_interpreter.py",88,0," str):",python,content
244,1139550,"akandes_python_backend/chips_interpreter.py",94,0,"\r\n    with",python,content
245,1139592,"akandes_python_backend/chips_interpreter.py",104,0," open(filename,",python,content
246,1139629,"akandes_python_backend/chips_interpreter.py",119,0," 'r')",python,content
247,1139658,"akandes_python_backend/chips_interpreter.py",124,0," as",python,content
248,1139691,"akandes_python_backend/chips_interpreter.py",127,0," f:",python,content
249,1139718,"akandes_python_backend/chips_interpreter.py",130,0,"\r\n        code",python,content
250,1139754,"akandes_python_backend/chips_interpreter.py",144,0," =",python,content
251,1139784,"akandes_python_backend/chips_interpreter.py",146,0," f.read()",python,content
252,1139818,"akandes_python_backend/chips_interpreter.py",155,0,"\r\n    #",python,content
253,1139851,"akandes_python_backend/chips_interpreter.py",162,0," For",python,content
254,1139885,"akandes_python_backend/chips_interpreter.py",166,0," now,",python,content
255,1139914,"akandes_python_backend/chips_interpreter.py",171,0," just",python,content
256,1139952,"akandes_python_backend/chips_interpreter.py",176,0," execute",python,content
257,1139986,"akandes_python_backend/chips_interpreter.py",184,0," as",python,content
258,1140017,"akandes_python_backend/chips_interpreter.py",187,0," Python",python,content
259,1140060,"akandes_python_backend/chips_interpreter.py",194,0," (for",python,content
260,1140089,"akandes_python_backend/chips_interpreter.py",199,0," demo",python,content
261,1140118,"akandes_python_backend/chips_interpreter.py",204,0," purposes)",python,content
262,1140144,"akandes_python_backend/chips_interpreter.py",214,0,"\r\n    exec(code,",python,content
263,1140185,"akandes_python_backend/chips_interpreter.py",230,0," {})",python,content
264,1140218,"akandes_python_backend/chips_interpreter.py",234,0,"\r\n\r\ndef",python,content
265,1140245,"akandes_python_backend/chips_interpreter.py",241,0," greet():",python,content
266,1140280,"akandes_python_backend/chips_interpreter.py",250,0,"\r\n    print('Hello",python,content
267,1140320,"akandes_python_backend/chips_interpreter.py",268,0," World!')\r\n",python,content
268,1169373,"akandes_python_backend/chips_interpreter.py",281,0,"\r\n",python,content
269,1299304,"akandes_python_backend/chips_interpreter.py",281,0,"\r\n",python,content
270,1302500,"akandes_python_backend/chips_interpreter.py",281,2,"",python,content
271,1302943,"akandes_python_backend/chips_interpreter.py",279,2,"",python,content
272,1342525,"\response_32c1e8b4-3ce1-4fc7-af58-b427cf868d24\0",0,0,"def greet():\r\n    print('Hello World!')\r\n\r\ngreet()",python,tab
273,1371140,"akandes_python_backend/chips_interpreter.py",0,0,"# Simple interpreter for .chips files (Python-like subset)\r\ndef run_chips_file(filename: str):\r\n    with open(filename, 'r') as f:\r\n        code = f.read()\r\n    # For now, just execute as Python (for demo purposes)\r\n    exec(code, {})\r\n\r\ndef greet():\r\n    print('Hello World!')\r\n\r\ngreet()\r\n\r\n",python,tab
274,1401520,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
275,1401556,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
276,1401591,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
277,1401614,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
278,1401630,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
279,1401646,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
280,1401679,"akandes_python_backend/chips_interpreter.py",238,12,"def greet():",python,content
281,1401701,"akandes_python_backend/chips_interpreter.py",252,25,"    print('Hello World!')",python,content
282,1401742,"akandes_python_backend/chips_interpreter.py",281,7,"greet()",python,content
283,1401778,"akandes_python_backend/chips_interpreter.py",292,0,"# C:/Python313/python.exe akandes_python_backend/chips_interpreter.py .chips",python,content
284,1401799,"akandes_python_backend/chips_interpreter.py",368,0,"\r\n",python,content
285,1401814,"akandes_python_backend/chips_interpreter.py",370,0,"\r\n",python,content
286,1418186,"akandes_python_backend/chips_interpreter.py",0,372,"\r\n",python,content
287,1424688,".chips",0,0,"def greet():\r\n    print('Hello World!')\r\n    \r\n\r\n",python,tab
288,1426488,".chips",41,6,"",python,content
289,1426522,"akandes_python_backend/chips_interpreter.py",0,0,"\r\n",python,tab
290,1447990,"akandes_python_backend/chips_interpreter.py",0,0,"# Simple interpreter for .chips files (Python-like subset)\r\ndef run_chips_file(filename: str):\r\n    with open(filename, 'r') as f:\r\n        code = f.read()\r\n    # For now, just execute as Python (for demo purposes)\r\n    exec(code, {})\r\n\r\ndef greet():\r\n    print('Hello World!')\r\n\r\ngreet()\r\n\r\n# C:/Python313/python.exe akandes_python_backend/chips_interpreter.py .chips\r\n",python,content
291,1448027,".gitignore",0,0,"out\ndist\nnode_modules\n.vscode-test/\n*.vsix\n",ignore,tab
292,1450121,"akandes_python_backend/chips_interpreter.py",0,0,"# Simple interpreter for .chips files (Python-like subset)\r\ndef run_chips_file(filename: str):\r\n    with open(filename, 'r') as f:\r\n        code = f.read()\r\n    # For now, just execute as Python (for demo purposes)\r\n    exec(code, {})\r\n\r\ndef greet():\r\n    print('Hello World!')\r\n\r\ngreet()\r\n\r\n# C:/Python313/python.exe akandes_python_backend/chips_interpreter.py .chips\r\n\r\n",python,tab
293,1548098,"akandes_python_backend/chips_interpreter.py",292,76,"",python,content
294,1549022,"akandes_python_backend/chips_interpreter.py",290,2,"",python,content
295,1803760,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
296,1803786,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
297,1803818,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
298,1803845,"akandes_python_backend/chips_interpreter.py",132,23,"        code = f.read()",python,content
299,1803869,"akandes_python_backend/chips_interpreter.py",157,57,"    # For now, just execute as Python (for demo purposes)",python,content
300,1803885,"akandes_python_backend/chips_interpreter.py",216,18,"    exec(code, {})",python,content
301,1803920,"akandes_python_backend/chips_interpreter.py",238,12,"def greet():",python,content
302,1803939,"akandes_python_backend/chips_interpreter.py",252,25,"    print('Hello World!')",python,content
303,1803956,"akandes_python_backend/chips_interpreter.py",279,0,"    print('This is AkandeChips!')",python,content
304,1803973,"akandes_python_backend/chips_interpreter.py",314,7,"",python,content
305,1803993,"akandes_python_backend/chips_interpreter.py",316,0,"greet()",python,content
306,1804038,"akandes_python_backend/chips_interpreter.py",327,0,"\r\n",python,content
307,1836428,"akandes_python_backend/chips_interpreter.py",0,58,"# Simple interpreter for .chips files (Python-like subset)",python,content
308,1836457,"akandes_python_backend/chips_interpreter.py",60,34,"def run_chips_file(filename: str):",python,content
309,1836485,"akandes_python_backend/chips_interpreter.py",96,34,"    with open(filename, 'r') as f:",python,content
